name1,img1,name2,img2,name3,img3,name4,img4,name5,img5,name6,img6,posneg,style,model
Ankle strap shoes,811771fd3b8782c7a2cc3898a3891a5286881413.jpg,Straw hat,600b50a768c144e0f81f8170cf5b3adb519b61a0.jpg,Crop top,7be6197ee5a2c3b5031ace459c63861c1c44ee9e.jpg,Strappy sandals,49435202c4baaebe7be181ceb759e1185dbf6540.jpg,Leather shoes,05a612084b3ae5c52b8a52206e8711c7488ea5dc.jpg,Jean shorts,e99cd1201b2af2b1d519f43f5e6e7541e8462735.jpg,positive,summer,LDA
Beach hat,0f47d947beb62d39b5bc1fec0edcc477333df79b.jpg,Strappy sandals,f1362f0421d30e6947f65f35202b1219b74169e7.jpg,Heeled sandals,7008702735a4c7829226b29d9e6b811243925eb0.jpg,Denim shorts,2f58531e2ad3dd5aa9c2c1c73c9c4c52b9c4c2c6.jpg,Halter top,aba4b1632825b25c8d5d91017c62bfacd42312de.jpg,Platform shoes,8cc36219a65e4170fa5d0c57fdf78aa26c2314d2.jpg,positive,summer,LDA
Sun hat,059ba1b316a80530a175b13e8cbe3eaa3fbbac40.jpg,T strap sandals,e793ea1de1890fb3be2fd218f72eafd116b17964.jpg,Straw hat,63918986860eb93952bbea202017ab45d4f34869.jpg,Leather shoes,e0ff29c535df3b06a898bbf7fd987f3e70c5c3ff.jpg,Crop top,6e20bc62012e912cc4ee41246b3daf27ff3e1d85.jpg,Beach hat,6ee980bbdfa251ba3be801ac412ff0db9bedd646.jpg,positive,summer,LDA
3/4 sleeve blazer,b42648d24acc0ab3ad1a5d417c640eb0d2a02f9c.jpg,18k pendant,aca1aa1dd37e81d3175893b6a4396b773368bd91.jpg,2 tone shoes,42d305814d07c30a8e4434c80323ec88d6b3ac94.jpg,3/4 sleeve jacket,89e14b4ef4a2e6bccf19369e83caaab7c24e8d0c.jpg,3/4 sleeve dress,301a71e33829609b89f866c49dce29d3500514c5.jpg,14k pendant,0f461c4dccd0bd0b3299e0b1c7272d37ff3b5b95.jpg,negative,summer,LDA
Long sleeve sweaters,c1da5415193a34d192f627fe5bc76d7488891732.jpg,Tube scarf,f2eeda70d27fb0f4e718c227cd0ba882312a8588.jpg,Cuff shirts,a4c3fc0c1190b8708bfdaad80965f063784cf430.jpg,Beanie hats,76193140d0ee900e5d5a2a7395d44daf3cb81451.jpg,Short boots,caec4f548587c2b026439e1102f9fe52b2528282.jpg,Loose sweater,6b8759f6cb1eea4578113b24be2aa0afdd43fa67.jpg,positive,winter,LDA
Leather shoes,84d223ec852948f4472cfacca5958ed61332340e.jpg,Silk scarves,65677f3779c433cb2f34e4869048e0bccb44c1cd.jpg,Leather purse,9c097f22ac0f122052395cbd0b05da1b16bc38d7.jpg,Ankle boots,82271091c69bd6c051ef12d79991973f8a874476.jpg,Long sleeve sweaters,fc6845e1e7ef71a2493a44d35ed5a4034c7dd189.jpg,Cable knit sweater,50fc0d65dfe10e47296534f8d26a70d2c18f0ea9.jpg,positive,winter,LDA
Crop top,7a042e4896f72f0fd067c7ecaf63db24fef4e155.jpg,Knit sweater,677bd987c083bb48d8db164753dce955b3225ca5.jpg,Jumpers sweaters,a0577c19710f5ed4c2d1450e98e0d37f645a4af3.jpg,Cropped sweater,f098f1630368cc4ce6d7b1a760d326656a5b6027.jpg,Pullover sweater,241f67e890d72b9f16a70bb3b073a5ce3eae5fb3.jpg,Leather purse,8324445a60962bd236791a9cb161e9754983d21e.jpg,positive,winter,LDA
2 tone shoes,e90e2b1edf96d54e02c7146f3062c041b2e98521.jpg,14k pendant,25f675cf0e3887c89efe35fabc8e88cb716c4f91.jpg,3/4 sleeve dress,9908c0155ff35ee0791b3fc1d9ce8f9ebcb8980d.jpg,3/4 sleeve blazer,2f56626e4eca39dd29fc9caab0ba0c2e3b4faeed.jpg,18k pendant,640183bab718bb86a8b8f06d53df06d57a558ca1.jpg,3/4 sleeve jacket,53e4312929d5089ac65f267f4184106c8e85e0f4.jpg,negative,winter,LDA
Sheer skirt,66eb315f0cc3a5271e81998b185dad970cb754ea.jpg,Leather shoes,27eb88ce21ecb5769c0eff30f067e3a7d5a68da6.jpg,Leather purse,c6b22a06934804788ae4cbf35ef1c08e2da1afe7.jpg,Floral garland,384da66f1e832757e53c8820d54b021492a1cae7.jpg,Pleated skirt,e24137a9b194c26eaf5fd8bd6c79b06da3b98a1d.jpg,Strappy sandals,2e4d387fe462fe63015dfcde2c1bf33d4b70872b.jpg,positive,bohemian,LDA
Sheer skirt,00388b32b9d64b927ca3dd34a05b74ada36e404c.jpg,White crop top,ca1438e90145c99fd908973f91c6fd661ae079a2.jpg,Crop top,07bfa248899a489cf3cd39b53343a2df6612ddf3.jpg,High heel shoes,f5cdee6860cacc89ad8b32c251aa756d69f62b41.jpg,Crossbody handbags,ce90dbd9cd94ef24d21477a400f74a31d5dc99bf.jpg,Maxi skirt,e036dbc22fe101a32bc31dfa16d656e781ebd205.jpg,positive,bohemian,LDA
Maxi skirt,6e40fe5875cd8a93a782161299db3e2ee1a26e21.jpg,Ankle strap shoes,0680aa9c0d1a2f0ff187d6a558432876f8a5e5e4.jpg,Floral crown,627070dc7012e85caae5e347a28e0bf71e4adcec.jpg,Strappy sandals,463e20197243acfe4706448b9ec38f97969cfed9.jpg,High heel shoes,ed48a6fe731b4b5ff19173f52c59914110fbfb07.jpg,Crop top,e8c46fac4ff0961273e692f36a38f2edcb4765b3.jpg,positive,bohemian,LDA
3/4 sleeve jacket,22bccd28fc47c9b4737d99ae991d56f3d36df364.jpg,3/4 sleeve dress,92470f25b82bc9454803892dbbe672a0b5751678.jpg,2 tone shoes,2413af1820b4cae12c0fa77cfee55baf6e738650.jpg,18k pendant,b1747a7b9a0f3f284b0d4e141c1ae81e89e9f7a2.jpg,14k pendant,3880dbf156763f6066d7a970a9aff9f52b14d2da.jpg,3/4 sleeve blazer,c95d0858bf31213de12b38404cc318eed3ed17bf.jpg,negative,bohemian,LDA
Laced boots,59173c89b68cd1d9dcd993334d70ebcb2bc692fd.jpg,Black booties,41927b7b0a8b731174bfe4738ceb3696a4ea8977.jpg,Black crop top,668ad323b3b1b3c7c33782a4356d6d93b5c4e895.jpg,Army boots,0ded1103a92bc731623de50c919bc1a14cf25138.jpg,Skater skirt,f4a31df9b4c2f40ccd548eca76d0b0a80ed822f1.jpg,Short skirts,9243b3c49c77664541548d1db28d12ba4c7fc9de.jpg,positive,goth,LDA
White crop top,652e43e42cc1a6d14cc30ff4581bcbeb8aceecdb.jpg,Circle skirt,33a9c49df88fa981b2c9eeebf49e06d77ca29b71.jpg,Leather boots,c4a6f8930566f53805a9f7b98455069666bf702c.jpg,Black crop top,ba553b4be10282d0473365faac3f49782548fd4c.jpg,Zipper boots,2bd9ed5f23c8b27996ffafd21dfd5fb041e25f69.jpg,Crop top,c2b7ade3abffeb583088cad3d2fc328f5d7ff62f.jpg,positive,goth,LDA
Black booties,85c0101f4a62c55a1b6a1c0cab3b1881748598eb.jpg,Leather boots,b5afbbc78e42ec391b6053058212ddf250ed31a2.jpg,Lace up boots,7ac673c9a77bd2c2d90a21b65b1b126f979ce466.jpg,Black boots,6d409eb76b64ccac6d77c2762f8de7d07854a438.jpg,Combat boots,819ee397692693807acafc34b99195c6bc2b1e27.jpg,Laced boots,809814d5df1c9a19f5b267778d736b67d28222c4.jpg,positive,goth,LDA
