name1,img1,name2,img2,name3,img3,name4,img4,name5,img5,name6,img6,posneg,style,model
Roman sandals,80608310448e7904b035f3d015d006c4a6d66580.jpg,Gold glasses,b3b308c25bd77d7f3d4c5953ef7473ceb5e1606a.jpg,Cognac shoes,0ed0cf32930ce463fdba811bccfda052ec169515.jpg,Teal shirt,a29ebecdd18bc9509aeff61cfc52bb04151b8ebf.jpg,Pink bikini,6c630d80f3126363d1a76bc108debde5d01b6550.jpg,Toe thongs,af403e89075cd17968878d6f7b09d6eec52efaa6.jpg,positive,summer,PLTM
Gladiator sandals,fd56c98b1e9e017a77be8193e3db1c6d7bebfb00.jpg,Gold glasses,ff9d7bb626fbb343266fad7f3e1c665fe2a87e63.jpg,Neon bikini,030eb8af8ba35a67b87fee2fc214d030ef74319a.jpg,Gold glasses,e884b0444fa3772cc23d2c3a7e9bf0839694fdeb.jpg,Toe thongs,d85e2b53465f745eea69e4307641ebfa8e24d6e7.jpg,Mint sandals,f0c5c9e697196157149d0f197a80b67e921aa546.jpg,positive,summer,PLTM
Roman sandals,27744ea78011f5a3cca29163245bf426bf2505f5.jpg,Circular sunglasses,2d569405caab4bbf50e593bb519ae72cdba9b41b.jpg,Triangle bathing suits,017267e3f4c930c3567e996c9a4ceafe599e4bcf.jpg,Gold glasses,7a3bd77e81889b76f1c8d2646fe09ca7ab5a5520.jpg,Crepe dress,9f91c8feedb5424a3c2638de746f36ecf7162f4f.jpg,Ribbed knit sweater,fd8ff700b6f02de52177187a672bf6a6510287a4.jpg,positive,summer,PLTM
Flower print cardigan,740d0c7a197ef82e56b2b25d31da082d3543f7d7.jpg,Houndstooth jacket,c920194453da98746ac08254ef0418772e4c7768.jpg,Zebra shirt,ae7d2576c12a3c5fede51fffdf4a1b40be5054ec.jpg,Marled cardigan,abbf417ac28a929f2c2a107af3eb7f27d2e3cbbf.jpg,Cartoon tees,865a2a383367de7e8c19d523df8b49a0d3a49497.jpg,Chevron top,b0c1d6b67f32759dd0c49f7079fdcda7f2105821.jpg,negative,summer,PLTM
Double breasted coat,8aea8029a1380c791046d68fdbd6bb57a4f55914.jpg,Fitted coat,4c0ee1c01bd1057d8aea9d58e731820cadf5cbb7.jpg,Swing coat,2d4d6cda7d8cb88f29173c75a78d04f910bafa04.jpg,Thigh high boots,3fce136e4ddbe25315f15a6b814860bcd481faa7.jpg,Khaki coat,e7235492b26b35984940a188f456bb2bd0c34ce8.jpg,Pleated coat,869e7d5ca00b5cb1a93321105ec5e2477187acd9.jpg,positive,winter,PLTM
Thigh high boots,f141b7a2b7ad015b4f9a9d97634a73a22ba22626.jpg,Red coat,d543bea7dba15f2861089a01ee157d4a3921c7aa.jpg,Burgundy coat,400840a80e238f00285ecebf7c8acd14a9826437.jpg,Open front coat,ba97d0af0d3180b0c83fbdf6177fe28ea3440366.jpg,Sweater coat,69bc586f5baa508ab1b5c7d246815d0396a44760.jpg,Double breasted coat,0fd278273ee7bb1bf5b792a50f88cb53a98a31ed.jpg,positive,winter,PLTM
Khaki coat,5dd7e3ad5dfea1c125834d332da2f5d9437a4b5b.jpg,Over the knee boots,f83f1b498481d09cbb05217bb426facd6b90af50.jpg,Sweater coat,c8b2a2390f9729de3a0430e2a8d56331c3d45625.jpg,Sleeveless coat,541d72d794f0256d5ba71a0018de7c07f119d84d.jpg,Cotton coat,ac39bf690fdc656643e5aa3810116aabccf4c538.jpg,Double breasted woolen coat,6174c97b421c85eaeb82c8e2eebd6dead065185d.jpg,positive,winter,PLTM
Chevron top,54915d48eead27ecd02a39b7dd17b180b8c3190f.jpg,Cartoon tees,86f632047339b43d60e9081eca046e08e1f1a0dc.jpg,Floral tank,efae3634f5738281770cc50adb5be3de81027318.jpg,Floral print romper,2efb29b8c7bbaa3aa84e065f7f05437919dee028.jpg,Zebra shirt,14b8b7388f866fc39f6606fd9233be548dc502fc.jpg,Flower blouse,b69cf734cdb5448917911931e6fffe57c87479ac.jpg,negative,winter,PLTM
Black robe,f36bfa8b784667f9c16729d5a84c587442288820.jpg,Chambray top,85b5c3e53b480b13d7b6d484eb48fad219d4612a.jpg,Long sleeve kimono,df9ee50086abebfba848eb8e4f189b816de403a6.jpg,Crew neck tank top,f08bb8b2ba83f37796de308c356da08f37f5ee2a.jpg,Flower print romper,d5899442776427e9fdb4ceec93017406629e4b06.jpg,Tribal top,0e73a687840898bc498bce9f115c41074c36ddea.jpg,positive,bohemian,PLTM
Front slit skirt,05be893a211054e40676dacf91b3cf6b341942d6.jpg,Tribal top,7a5747c7b70011bdaf2ae19ed7f8819eb9062d1f.jpg,Beige cardigan,6c0214fc41aeb518f89f16161802edcb920df990.jpg,Patterned romper,f870e113e0eb9e4863273c69631b3c7fc05aec4a.jpg,Patchwork jeans,0823d5fff5a50d6cd877d35ba2948080b82d7b73.jpg,Crew neck tank top,23112c957084d996a4c3eedeea47bf504660732e.jpg,positive,bohemian,PLTM
